楽曲名,難易度,楽曲レベル,クリアランク,スコアグレード,ハイスコア,EXスコア,プレー回数,クリア回数,ULTIMATE CHAIN,PERFECT
朧,MAXIMUM,17,COMPLETE,AAA,9751230,0,11,11,0,0
Say!ファンファーレ!,MAXIMUM,17,COMPLETE,AA,9427116,0,1,1,0,0
QQ,EXHAUST,17,COMPLETE,AA+,9559765,0,2,2,0,0
Stylus,EXHAUST,16,COMPLETE,AAA,9769076,0,2,2,0,0
Stylus,MAXIMUM,18.4,PLAYED,A+,9155844,0,19,0,0,0
Undead Raving Scare,EXHAUST,17.5,PLAYED,AA,9350495,0,2,0,0,0
Enter The Rave,EXHAUST,16,PLAYED,AAA,9784272,0,3,0,0,0
SHARK IMPACT,EXHAUST,16,PLAYED,AAA+,9824455,0,5,0,0,0
十三不塔,EXHAUST,16,PLAYED,AAA+,9855718,0,5,0,0,0
リュミレイラ,EXHAUST,16,PLAYED,AAA+,9874167,0,2,0,0,0
KAMAITACHI,EXHAUST,16,COMPLETE,AAA,9718089,0,1,1,0,0
Follow Tomorrow,MAXIMUM,17,COMPLETE,A+,9286206,0,1,1,0,0
One More Lovely,EXHAUST,17,COMPLETE,AA+,9575869,0,2,2,0,0
Voice 7 Voice!!!!!!!,EXHAUST,16,COMPLETE,AA+,9576951,0,1,1,0,0
Demetel (Erixa ”MYTH” Remix),MAXIMUM,17,COMPLETE,AA,9396815,0,1,1,0,0
Dawn of Asia(Alkome Remix),MAXIMUM,17,COMPLETE,AAA,9793123,0,12,12,0,0
ませまてぃっく♡ま＋ま＝まじっく！　～徹夜の追込みエナジーまっくす！～,EXHAUST,16,COMPLETE,AAA,9717073,0,1,1,0,0
ΣMERGENCY CODΣ,EXHAUST,16,PLAYED,AAA+,9826535,0,1,0,0,0
パーフェクトイーター,MAXIMUM,18.5,PLAYED,B,7946695,0,1,0,0,0
累乗のカルマ,EXHAUST,16,COMPLETE,AA+,9680365,0,1,1,0,0
おちゃめ機能,MAXIMUM,17,COMPLETE,AA+,9677518,0,3,3,0,0
