楽曲名,難易度,楽曲レベル,クリアランク,スコアグレード,ハイスコア,EXスコア,プレー回数,クリア回数,ULTIMATE CHAIN,PERFECT
ラストリゾート,MAXIMUM,16,COMPLETE,AA,9444093,0,1,1,0,0
ここからよろしく大作戦143,MAXIMUM,17,COMPLETE,AA,9351941,0,1,1,0,0
Thank you for your playing music,ADVANCED,13,PLAYED,AA+,9685883,0,1,0,0,0
Thank you for your playing music,EXHAUST,16,COMPLETE,AAA+,9822535,0,1,1,0,0
Symphonic Tear,EXHAUST,16,COMPLETE,AAA,9762830,0,1,1,0,0
Defining Future,EXHAUST,16,COMPLETE,AA+,9607348,0,1,1,0,0
Defining Future,MAXIMUM,18.2,COMPLETE,AA,9409684,0,1,1,0,0
Non RolicK!!大冒険,MAXIMUM,17.5,COMPLETE,AA,9450726,0,3,1,0,0
who I am,MAXIMUM,17.5,COMPLETE,AA,9315561,0,1,1,0,0
トーキョーサマーナイト,EXHAUST,14,COMPLETE,AAA,9766401,0,2,2,0,0
Hexennacht,ADVANCED,12,COMPLETE,AAA,9728588,0,1,1,0,0
Ring！Run！Nyan!!,EXHAUST,16,COMPLETE,AA+,9521822,0,1,1,0,0
Blessing Bouquet,EXHAUST,16,COMPLETE,AA+,9689425,0,1,1,0,0
Lisa-RICCIA,EXHAUST,17,COMPLETE,AA+,9524576,0,2,1,0,0
Electric Injury,EXHAUST,16,COMPLETE,AAA,9755962,0,7,7,0,0
月々紅花,EXHAUST,15,COMPLETE,AA,9344352,0,4,1,0,0
Sparkling Laser Beam,VIVID,17,COMPLETE,AA,9402173,0,1,1,0,0
Leviathan,EXHAUST,16,COMPLETE,AA,9441041,0,1,1,0,0
memento mori -intro-,EXHAUST,16,COMPLETE,AA+,9591704,0,1,1,0,0
DEEP PSYCHEDELIC STRIKER,ADVANCED,11,COMPLETE,AA,9370447,0,2,2,0,0
DEEP PSYCHEDELIC STRIKER,EXHAUST,14,COMPLETE,AA+,9538855,0,7,6,0,0
DEEP PSYCHEDELIC STRIKER,MAXIMUM,17,COMPLETE,AA+,9603217,0,10,10,0,0
POSSESSION(Gowrock Remix),ADVANCED,12,COMPLETE,AA+,9622153,0,1,1,0,0
POSSESSION(Gowrock Remix),EXHAUST,15,COMPLETE,AA,9359933,0,2,2,0,0
POSSESSION(Gowrock Remix),MAXIMUM,17,COMPLETE,AA,9422024,0,3,3,0,0
Re：Elemental Creation,EXHAUST,16,COMPLETE,AA,9412997,0,2,2,0,0
Daydream café (Euro Hopping Mix),EXHAUST,14,COMPLETE,AA+,9638609,0,1,1,0,0
Daydream café (Euro Hopping Mix),MAXIMUM,16,COMPLETE,AAA,9733552,0,4,4,0,0
ふ・れ・ん・ど・し・た・い（WEREHEREMIX),NOVICE,4,COMPLETE,A+,9272727,0,1,1,0,0
ふ・れ・ん・ど・し・た・い（WEREHEREMIX),ADVANCED,11,COMPLETE,AAA,9714765,0,6,6,0,0
ふ・れ・ん・ど・し・た・い（WEREHEREMIX),EXHAUST,15,COMPLETE,AAA+,9826546,0,13,12,0,0
ふ・れ・ん・ど・し・た・い（WEREHEREMIX),MAXIMUM,17,COMPLETE,AA,9497649,0,9,8,0,0
ユニバーページ（i-world Mix）,MAXIMUM,16,COMPLETE,AA+,9611041,0,1,1,0,0
御伽噺に幕切れを,MAXIMUM,17,COMPLETE,AA,9341841,0,2,1,0,0
逆さま♥シンデレラパレード,MAXIMUM,17.5,COMPLETE,AA,9396671,0,1,1,0,0
Over The Top,ADVANCED,14,COMPLETE,A+,9289422,0,1,1,0,0
トマヨイ,ADVANCED,13,COMPLETE,AA+,9546843,0,1,1,0,0
トマヨイ,EXHAUST,15,COMPLETE,AAA+,9806866,0,8,8,0,0
World of Iris,EXHAUST,16,COMPLETE,AAA,9778985,0,1,1,0,0
Nebulas,EXHAUST,16,COMPLETE,AA+,9548494,0,1,1,0,0
Our Love,EXHAUST,16,COMPLETE,AAA+,9858569,0,16,16,0,0
Our Love,MAXIMUM,18.1,COMPLETE,AA,9378881,0,5,1,0,0
The First Step,ADVANCED,11,COMPLETE,AA+,9576470,0,1,1,0,0
The First Step,EXHAUST,14,COMPLETE,AAA+,9815689,0,2,2,0,0
The First Step,MAXIMUM,17.5,COMPLETE,AA,9308880,0,1,1,0,0
BLAZE∞BREEZE,ADVANCED,12,COMPLETE,AA+,9581395,0,1,1,0,0
BLAZE∞BREEZE,EXHAUST,15,COMPLETE,AAA+,9833333,0,2,1,0,0
BLAZE∞BREEZE,MAXIMUM,17.5,COMPLETE,A+,9244098,0,1,1,0,0
ラブキラ☆スプラッシュ,ADVANCED,10,COMPLETE,AA,9462305,0,1,1,0,0
ラブキラ☆スプラッシュ,EXHAUST,14,COMPLETE,AA,9412000,0,1,1,0,0
EGOISM -Rebuild-,EXHAUST,14,COMPLETE,AA,9369544,0,2,2,0,0
EGOISM -Rebuild-,MAXIMUM,17,COMPLETE,AA+,9591779,0,2,2,0,0
L9,ADVANCED,13,COMPLETE,A+,9042669,0,1,1,0,0
L9,EXHAUST,16,COMPLETE,AA,9477201,0,4,4,0,0
Still Lonesome,EXHAUST,14,COMPLETE,S,9916540,0,2,2,0,0
MeteorA,ADVANCED,13,COMPLETE,AAA,9739374,0,1,1,0,0
かくしん的☆めたまるふぉ～ぜっ！（crabMixx）,EXHAUST,13,COMPLETE,AA+,9640753,0,4,4,0,0
かくしん的☆めたまるふぉ～ぜっ！（crabMixx）,MAXIMUM,16,COMPLETE,AA+,9660947,0,5,5,0,0
Impress (bansou Remix),EXHAUST,14,COMPLETE,A+,9133393,0,1,1,0,0
Impress (bansou Remix),MAXIMUM,17,COMPLETE,AA,9417091,0,2,2,0,0
Elemental Creation (kamome sano Remix),EXHAUST,16,COMPLETE,AA,9329896,0,4,3,0,0
VIVIDWAVERS,EXHAUST,15,COMPLETE,AAA,9746835,0,4,3,0,0
VIVIDWAVERS,MAXIMUM,17.5,COMPLETE,AA+,9519174,0,5,5,0,0
Finally Dive -kors k Remix-,MAXIMUM,16,COMPLETE,AAA+,9857578,0,17,17,0,0
ANGER of the GOD,EXHAUST,17,COMPLETE,AA+,9539316,0,5,5,0,0
Valanga(polysha Remix),EXHAUST,16,COMPLETE,AAA,9701064,0,1,1,0,0
Vividly Impromptu,EXHAUST,16,COMPLETE,AAA,9752035,0,1,1,0,0
Vividly Impromptu,MAXIMUM,18.5,COMPLETE,AA,9371257,0,3,2,0,0
祭囃子,EXHAUST,14,PLAYED,A,8951686,0,3,0,0,0
ULTRA B+K,EXHAUST,14,PLAYED,A,8766368,0,1,0,0,0
Harmonia,MAXIMUM,17,COMPLETE,AA,9490632,0,1,1,0,0
ЯegreT of MemoRy,MAXIMUM,17,COMPLETE,AA,9452695,0,1,1,0,0
OZONE,EXHAUST,15,COMPLETE,AAA+,9826541,0,1,1,0,0
Believe In Yourself,EXHAUST,16,COMPLETE,AAA+,9899127,0,19,19,0,0
Believe In Yourself,GRAVITY,18.1,PLAYED,B,7951807,0,1,0,0,0
OUTERHEΛVEN,NOVICE,7,COMPLETE,AA,9425287,0,1,1,0,0
Butterfly Twist,NOVICE,6,COMPLETE,AAA+,9878444,0,1,1,0,0
pique,NOVICE,6,COMPLETE,AAA,9726666,0,1,1,0,0
ultra turbo,MAXIMUM,17.5,COMPLETE,AA+,9510510,0,2,2,0,0
近未来百鬼夜行譚～死返之巻～,NOVICE,5,COMPLETE,AAA,9748475,0,1,1,0,0
近未来百鬼夜行譚～死返之巻～,MAXIMUM,17,COMPLETE,AA+,9631299,0,1,1,0,0
タイムトラベル,EXHAUST,16,COMPLETE,AA+,9667452,0,1,1,0,0
AXION,EXHAUST,15,ULTIMATE CHAIN,S,9934210,0,9,9,1,0
AXION,MAXIMUM,17,COMPLETE,AA+,9648666,0,19,16,0,0
Nhelv,ADVANCED,13,PLAYED,AA,9459053,0,2,0,0,0
Nhelv,EXHAUST,16,COMPLETE,AAA+,9815680,0,10,10,0,0
Nhelv,MAXIMUM,18.4,COMPLETE,AA+,9504150,0,8,7,0,0
Pixelated Platform,EXHAUST,14,PLAYED,AA,9493608,0,3,0,0,0
Pixelated Platform,MAXIMUM,17,COMPLETE,AA,9435833,0,1,1,0,0
toy boxer,MAXIMUM,17,COMPLETE,AA+,9531590,0,3,3,0,0
Trill auf G,ADVANCED,14,COMPLETE,AA+,9633487,0,1,1,0,0
Trill auf G,EXHAUST,17,COMPLETE,AA+,9614614,0,1,1,0,0
BLACK JACKAL,NOVICE,5,COMPLETE,AAA,9797507,0,1,1,0,0
BLACK JACKAL,MAXIMUM,17.5,COMPLETE,AA,9468085,0,4,4,0,0
voltississimo,ADVANCED,14,COMPLETE,AA,9475671,0,1,1,0,0
voltississimo,EXHAUST,17,COMPLETE,AA,9335915,0,2,1,0,0
ロキ,ADVANCED,10,COMPLETE,AAA,9786585,0,2,2,0,0
ロキ,EXHAUST,14,COMPLETE,A+,9289772,0,2,2,0,0
ロキ,MAXIMUM,17,COMPLETE,AA,9359573,0,4,4,0,0
Black Lotus,EXHAUST,16,COMPLETE,AA,9347697,0,1,1,0,0
MARENOL,MAXIMUM,17.5,COMPLETE,AA,9310200,0,2,2,0,0
Aerial Fortress,EXHAUST,16,COMPLETE,AA,9446072,0,2,1,0,0
eighth-slave,EXHAUST,16,COMPLETE,AAA+,9813511,0,18,18,0,0
eighth-slave,MAXIMUM,18.3,COMPLETE,A+,9253897,0,1,1,0,0
Cynical Joker,EXHAUST,15,COMPLETE,A,8935298,0,1,1,0,0
mqlo,EXHAUST,16,COMPLETE,AA+,9519268,0,3,3,0,0
Sunflower Vibes,MAXIMUM,17.5,COMPLETE,AA,9491234,0,1,1,0,0
V Sen5eS,EXHAUST,15,COMPLETE,AA,9351428,0,1,1,0,0
rE:Voltagers,EXHAUST,16,COMPLETE,AAA,9744429,0,8,8,0,0
JǛPITΨR ♃ GЯÃVITÝ,EXHAUST,16,COMPLETE,AAA+,9800210,0,1,1,0,0
妄想税,MAXIMUM,16,COMPLETE,A+,9194139,0,1,1,0,0
Into The Madness,MAXIMUM,17.5,COMPLETE,AA,9468085,0,2,2,0,0
Cloud Crasher,EXHAUST,16,COMPLETE,AA,9399557,0,2,2,0,0
Circulator,ADVANCED,12,COMPLETE,AA,9334905,0,1,1,0,0
Circulator,EXHAUST,15,COMPLETE,AAA,9728033,0,4,4,0,0
Circulator,MAXIMUM,17.5,COMPLETE,AA,9421813,0,4,4,0,0
Get over!!,MAXIMUM,16,COMPLETE,AA,9388092,0,1,1,0,0
Little Big Princess(DJ katsu EDIT),MAXIMUM,16,COMPLETE,AA,9368630,0,1,1,0,0
Atropa bella-donna,EXHAUST,16,COMPLETE,AAA,9774405,0,1,1,0,0
Adrenaline Rush,EXHAUST,14,COMPLETE,A+,9288617,0,1,1,0,0
Adrenaline Rush,MAXIMUM,17,COMPLETE,AAA,9782377,0,6,6,0,0
Xicholauncher,MAXIMUM,18.1,PLAYED,D,5937354,0,1,0,0,0
50th Memorial Songs -The BEMANI History-,VIVID,17.5,COMPLETE,A+,9273477,0,1,1,0,0
50th Memorial Songs -二人の時 ～under the cherry blossoms～-,VIVID,16,COMPLETE,AA,9475906,0,1,1,0,0
Enchanté,EXHAUST,15,COMPLETE,AA+,9660305,0,2,1,0,0
Enchanté,MAXIMUM,18.1,COMPLETE,AA,9447657,0,1,1,0,0
Bye or not,NOVICE,5,COMPLETE,AA+,9565548,0,1,1,0,0
Bye or not,MAXIMUM,17,COMPLETE,AA+,9538019,0,1,1,0,0
VIVID DEBUT!,EXHAUST,14,PLAYED,AA,9317627,0,1,0,0,0
VIVID DEBUT!,MAXIMUM,17.5,COMPLETE,AA+,9503470,0,2,2,0,0
Glorious Journey,NOVICE,6,COMPLETE,AAA+,9842519,0,1,1,0,0
Sacrifice Escape: 不条理の模倣による感情と代償,MAXIMUM,17,COMPLETE,AA,9363934,0,1,1,0,0
翠雨の祷,EXHAUST,16,COMPLETE,AA+,9577160,0,1,1,0,0
50th Memorial Songs -Beginning Story-,VIVID,16,COMPLETE,AA,9498402,0,1,1,0,0
Sharkbait,MAXIMUM,17.5,COMPLETE,AA,9377256,0,6,2,0,0
スイーツはとまらない♪,ADVANCED,11,PLAYED,C,7233391,0,1,0,0,0
スイーツはとまらない♪,MAXIMUM,16,COMPLETE,AA+,9687058,0,1,1,0,0
ヒカリユリイカ,MAXIMUM,16,COMPLETE,AA+,9560535,0,2,2,0,0
び,EXHAUST,16,COMPLETE,AA+,9512678,0,13,13,0,0
び,MAXIMUM,18.8,PLAYED,A,8871051,0,3,0,0,0
Addicted Moon,EXHAUST,13,COMPLETE,AA+,9567198,0,1,1,0,0
Addicted Moon,MAXIMUM,16,COMPLETE,AAA+,9804670,0,7,6,0,0
ARROW RAIN feat. ayame,ADVANCED,13,COMPLETE,AA+,9630973,0,1,1,0,0
ARROW RAIN feat. ayame,EXHAUST,16,COMPLETE,AA,9451884,0,1,1,0,0
伊邪那美白山姫大神,MAXIMUM,17,COMPLETE,AA,9444843,0,1,1,0,0
雲海,EXHAUST,14,PLAYED,A,8798634,0,1,0,0,0
Enjoy This Time,EXHAUST,14,COMPLETE,AA+,9600746,0,1,1,0,0
Enjoy This Time,MAXIMUM,17,COMPLETE,AA+,9636138,0,5,5,0,0
Colors,EXHAUST,14,COMPLETE,S,9925742,0,1,1,0,0
Colors,MAXIMUM,16,COMPLETE,AA+,9519932,0,1,1,0,0
Colorless feat.ももかみ,EXHAUST,14,COMPLETE,A+,9244810,0,1,1,0,0
Colorless feat.ももかみ,MAXIMUM,17.5,COMPLETE,AA,9401634,0,1,1,0,0
GaLaXyEggPlanT,EXHAUST,16,COMPLETE,AA,9337968,0,2,2,0,0
GALAXY BURST,EXHAUST,16,COMPLETE,AAA,9730088,0,7,7,0,0
クレイジークレイジーダンサーズ,EXHAUST,15,COMPLETE,AA+,9574536,0,1,1,0,0
クレイジークレイジーダンサーズ,MAXIMUM,17,COMPLETE,AA+,9629930,0,1,1,0,0
すきなことだけでいいです,ADVANCED,10,COMPLETE,AAA,9777777,0,2,2,0,0
すきなことだけでいいです,EXHAUST,13,COMPLETE,AA+,9686274,0,3,3,0,0
すきなことだけでいいです,MAXIMUM,16,COMPLETE,AAA,9701754,0,11,10,0,0
scary night,MAXIMUM,17,COMPLETE,AAA,9769573,0,1,1,0,0
Believe (y)our Wings {V:IVID RAYS},MAXIMUM,17.5,COMPLETE,AA,9373339,0,5,1,0,0
Believe (y)our Wings {GRA5P WAVES},MAXIMUM,17.5,COMPLETE,AA,9345403,0,2,1,0,0
BLIZZARD BEAT,MAXIMUM,17,COMPLETE,AA+,9511811,0,3,3,0,0
Princess Lily,MAXIMUM,17.5,COMPLETE,AA+,9523706,0,1,1,0,0
迷夢ソウル,MAXIMUM,16,COMPLETE,AA,9410140,0,1,1,0,0
Record one's Dream,MAXIMUM,17.5,COMPLETE,AA+,9511299,0,1,1,0,0
Revolution,MAXIMUM,17.5,COMPLETE,AA+,9521432,0,3,3,0,0
V,ADVANCED,12,COMPLETE,AAA+,9806378,0,2,2,0,0
V,EXHAUST,15,COMPLETE,AA+,9669421,0,6,6,0,0
Cross Fire,EXHAUST,17.5,PLAYED,A+,9270593,0,1,0,0,0
ゴーストルール,ADVANCED,11,COMPLETE,AAA,9749763,0,1,1,0,0
ゴーストルール,EXHAUST,15,COMPLETE,AA+,9623493,0,2,2,0,0
ゴーストルール,MAXIMUM,17,COMPLETE,AA,9389160,0,2,1,0,0
スペクトラム,MAXIMUM,16,COMPLETE,AA+,9616175,0,2,2,0,0
すろぉもぉしょん,EXHAUST,14,COMPLETE,A+,9123404,0,1,1,0,0
すろぉもぉしょん,MAXIMUM,17,COMPLETE,AA,9392009,0,1,1,0,0
She Turns Me On,EXHAUST,15,COMPLETE,AA+,9670367,0,1,1,0,0
Yum Yum Sweetie,EXHAUST,15,COMPLETE,A+,9285159,0,1,1,0,0
ブチ上げ候！現代忍者三姉妹,MAXIMUM,17,COMPLETE,AA,9300935,0,1,1,0,0
Musha Vibration,EXHAUST,15,COMPLETE,AAA,9780541,0,4,4,0,0
Musha Vibration,MAXIMUM,17.5,COMPLETE,AA+,9507488,0,11,8,0,0
ouroboros -twin stroke of the end-,EXHAUST,16,COMPLETE,AA+,9534541,0,2,2,0,0
Xevel,EXHAUST,16,COMPLETE,AA+,9674408,0,3,1,0,0
お米の美味しい炊き方、そしてお米を食べることによるその効果。,EXHAUST,15,COMPLETE,AAA,9745649,0,1,1,0,0
GAIA,EXHAUST,15,COMPLETE,A+,9197986,0,1,1,0,0
GAIA,MAXIMUM,18.2,COMPLETE,AA,9412304,0,1,1,0,0
Synergy For Angels,MAXIMUM,17,COMPLETE,AA,9469257,0,1,1,0,0
ラキラキ,ADVANCED,11,COMPLETE,AA,9349593,0,1,1,0,0
Invisible Bullets,ADVANCED,12,COMPLETE,AA+,9530651,0,1,1,0,0
Invisible Bullets,EXHAUST,15,COMPLETE,AA,9336870,0,2,2,0,0
Invisible Bullets,MAXIMUM,17,COMPLETE,AA+,9581022,0,6,6,0,0
Night Rockin' Bird,EXHAUST,14,PLAYED,A+,9012012,0,1,0,0,0
異世界ノットパンピー,NOVICE,4,COMPLETE,AA+,9699570,0,1,1,0,0
嘘とぬいぐるみ,MAXIMUM,16,COMPLETE,AA,9482129,0,1,1,0,0
No way,MAXIMUM,17.5,COMPLETE,AA+,9564755,0,5,4,0,0
4NT1 D34D,MAXIMUM,16,COMPLETE,AA,9398954,0,1,1,0,0
蓬莱フェスティボー,MAXIMUM,17.5,COMPLETE,AA+,9616497,0,1,1,0,0
Lunatic Sprinter,EXHAUST,15,COMPLETE,AA,9353632,0,2,2,0,0
風鈴花火,MAXIMUM,16,COMPLETE,AA+,9664019,0,1,1,0,0
MAXIVCORD,MAXIMUM,17.5,COMPLETE,A+,9277108,0,1,1,0,0
Let's Bounce !!,MAXIMUM,16,COMPLETE,AA+,9558071,0,4,4,0,0
灼熱のBlazin' Beat,MAXIMUM,16,COMPLETE,AA+,9529441,0,2,2,0,0
Burning Spark!,MAXIMUM,16,COMPLETE,AA+,9526134,0,1,1,0,0
まじかる生主＠りすなちゃん,EXHAUST,15,COMPLETE,AAA,9751501,0,1,1,0,0
Liévre -blanche-,MAXIMUM,17,COMPLETE,AA+,9637537,0,1,1,0,0
FREEDOM DiVE,NOVICE,7,COMPLETE,AA,9313043,0,1,1,0,0
FREEDOM DiVE,EXHAUST,17.5,COMPLETE,AAA,9736129,0,25,24,0,0
Dark Matter,ADVANCED,11,COMPLETE,S,9969512,0,1,1,0,0
Dark Matter,MAXIMUM,17.5,COMPLETE,AA,9388154,0,1,1,0,0
Invisible Full Moon 古屋直雪 remix,MAXIMUM,16,COMPLETE,AA+,9565063,0,1,1,0,0
BLAZING_LAZER,EXHAUST,16,COMPLETE,AAA+,9860935,0,11,11,0,0
BLAZING_LAZER,MAXIMUM,18.0,COMPLETE,AA+,9524560,0,4,1,0,0
Melty Sweets,MAXIMUM,17,COMPLETE,AA+,9654408,0,2,2,0,0
Reb∞t,EXHAUST,16,COMPLETE,AA+,9611111,0,1,1,0,0
KIMIDORI Streak!!,MAXIMUM,18.0,COMPLETE,AA,9350368,0,1,1,0,0
失敗作少女,NOVICE,4,COMPLETE,S,9910714,0,1,1,0,0
Secret Traveler -MeniRemix-,EXHAUST,14,COMPLETE,A+,9283508,0,1,1,0,0
Knights Assault,MAXIMUM,17,COMPLETE,AA+,9587449,0,2,2,0,0
プレインエイジア(MRM REMIX),MAXIMUM,17.5,COMPLETE,AA,9354066,0,1,1,0,0
MeteorGlow Aftermath,MAXIMUM,18.6,PLAYED,A+,9027777,0,1,0,0,0
Chrono Diver -PENDULUMs-,ADVANCED,14,COMPLETE,AA,9466815,0,1,1,0,0
Chrono Diver -PENDULUMs-,EXHAUST,17,COMPLETE,AA,9429028,0,3,3,0,0
Nexta,EXHAUST,15,COMPLETE,AAA,9768750,0,6,6,0,0
ILL-STARRED Diver,MAXIMUM,17,COMPLETE,AAA,9754477,0,1,1,0,0
SUPER BUBBLE JOURNEY,EXHAUST,14,COMPLETE,A+,9165261,0,3,3,0,0
SUPER BUBBLE JOURNEY,MAXIMUM,17,COMPLETE,AA+,9574829,0,2,2,0,0
Blue Stream,MAXIMUM,17.5,COMPLETE,AA,9455128,0,1,1,0,0
片翼のディザイア,MAXIMUM,17,COMPLETE,AA+,9634146,0,1,1,0,0
LastΩmegA,ADVANCED,13,COMPLETE,AA,9431643,0,1,1,0,0
LastΩmegA,MAXIMUM,18.4,PLAYED,A+,9270833,0,2,0,0,0
Redshift,MAXIMUM,18.2,PLAYED,A+,9035002,0,1,0,0,0
Iridescent Clouds,MAXIMUM,17.5,COMPLETE,A+,9189733,0,1,1,0,0
SAtAN,EXHAUST,16,COMPLETE,AAA+,9812583,0,1,1,0,0
disordered asia,MAXIMUM,16,COMPLETE,AA+,9595359,0,1,1,0,0
Two of Us,NOVICE,4,COMPLETE,B,8397435,0,1,1,0,0
Dreaming feat. nomico,EXHAUST,13,COMPLETE,AA+,9660361,0,1,1,0,0
Dreaming feat. nomico,MAXIMUM,17,COMPLETE,AA+,9577986,0,1,1,0,0
Arcade Prison,MAXIMUM,17,COMPLETE,AA+,9529201,0,1,1,0,0
Oriens,ADVANCED,12,COMPLETE,AAA+,9865092,0,1,1,0,0
Oriens,EXHAUST,14,COMPLETE,AAA,9727540,0,1,1,0,0
Oriens,MAXIMUM,17,COMPLETE,AAA,9746338,0,3,3,0,0
Decoy,ADVANCED,12,COMPLETE,AAA,9762989,0,2,2,0,0
Decoy,EXHAUST,14,COMPLETE,AAA,9768326,0,2,2,0,0
Decoy,MAXIMUM,17,COMPLETE,AA,9393750,0,2,2,0,0
New Leaf,ADVANCED,13,COMPLETE,S,9900346,0,4,4,0,0
New Leaf,EXHAUST,15,COMPLETE,S,9918144,0,18,18,0,0
New Leaf,MAXIMUM,18.0,COMPLETE,AA+,9577650,0,10,7,0,0
β,MAXIMUM,17,COMPLETE,AAA,9738000,0,1,1,0,0
RHYZING BEAT,EXHAUST,15,COMPLETE,AA+,9651724,0,2,2,0,0
Re：End of a Dream,EXHAUST,16,COMPLETE,AA+,9583527,0,1,1,0,0
ビビットストリーム,MAXIMUM,16,COMPLETE,AA,9493637,0,1,1,0,0
Phlox,MAXIMUM,17,COMPLETE,AA+,9649698,0,1,1,0,0
BELOBOG,ADVANCED,14,COMPLETE,A+,9248723,0,1,1,0,0
蟲の棲む処,MAXIMUM,17,COMPLETE,AA+,9514270,0,1,1,0,0
Royal Judgement,GRAVITY,17.5,COMPLETE,AA,9454681,0,3,2,0,0
惑星☆ロリポップ,MAXIMUM,16,COMPLETE,AA+,9673835,0,2,2,0,0
からくりピエロ,ADVANCED,8,COMPLETE,AA+,9693396,0,1,1,0,0
I,NOVICE,8,PLAYED,B,8621337,0,1,0,0,0
BREAKNECK NY☆N! NY★N!,EXHAUST,15,COMPLETE,AA,9462905,0,1,1,0,0
planetarium,MAXIMUM,17.5,COMPLETE,AA,9345991,0,2,2,0,0
Lionheart,EXHAUST,14,PLAYED,AA+,9571984,0,1,0,0,0
Random Box,MAXIMUM,16,COMPLETE,AA+,9529074,0,1,1,0,0
CARNIVOROUS,MAXIMUM,17,COMPLETE,AA+,9684057,0,1,1,0,0
SPACE VILLAGE,MAXIMUM,17.5,COMPLETE,AA+,9527761,0,1,1,0,0
それは花火のような恋,ADVANCED,12,COMPLETE,AA+,9601393,0,1,1,0,0
それは花火のような恋,MAXIMUM,17.5,COMPLETE,AA,9350961,0,1,1,0,0
VOLTEXES IV,EXHAUST,14,COMPLETE,AA,9479537,0,1,1,0,0
VOLTEXES IV,MAXIMUM,17,COMPLETE,AA+,9600122,0,1,1,0,0
メイビ～初恋！？ビスケット☆大作戦,EXHAUST,16,COMPLETE,AA+,9564013,0,2,2,0,0
ツキアカリ,MAXIMUM,17,COMPLETE,AA,9388471,0,1,1,0,0
Lowermost revolt,EXHAUST,16,COMPLETE,AA+,9699148,0,1,1,0,0
Royal Action,EXHAUST,14,COMPLETE,AAA+,9834888,0,2,2,0,0
Royal Action,MAXIMUM,17.5,COMPLETE,AA+,9591950,0,14,11,0,0
おにいちゃんハイテック,NOVICE,5,COMPLETE,S,9947589,0,1,1,0,0
おにいちゃんハイテック,EXHAUST,13,COMPLETE,AA+,9639963,0,1,1,0,0
おにいちゃんハイテック,MAXIMUM,17,COMPLETE,AAA,9761111,0,3,3,0,0
Khionos TiARA,EXHAUST,16,COMPLETE,AAA,9748784,0,1,1,0,0
Xibercannon,MAXIMUM,17,COMPLETE,AA+,9664446,0,1,1,0,0
DropZ-Line-,EXHAUST,16,COMPLETE,AAA+,9828671,0,5,5,0,0
DropZ-Line-,MAXIMUM,18.4,COMPLETE,A+,9219184,0,2,1,0,0
PIERROT KNIfE,EXHAUST,14,COMPLETE,AA+,9560475,0,1,1,0,0
PIERROT KNIfE,MAXIMUM,17.5,COMPLETE,AA+,9503386,0,1,1,0,0
GERBERA,EXHAUST,16,COMPLETE,AA+,9606299,0,1,1,0,0
It's a new day!,MAXIMUM,16,COMPLETE,AA,9483714,0,1,1,0,0
QUAKE,EXHAUST,14,COMPLETE,AA+,9595959,0,1,1,0,0
QUAKE,MAXIMUM,17,COMPLETE,AAA,9785575,0,8,8,0,0
Fairy in Strasbourg,EXHAUST,13,COMPLETE,A+,9037356,0,1,1,0,0
Fairy in Strasbourg,MAXIMUM,16,COMPLETE,AA+,9631093,0,8,8,0,0
Poppin’Cats!!,MAXIMUM,17.5,COMPLETE,AA,9389102,0,2,2,0,0
DREAMING-ING!!,MAXIMUM,15,COMPLETE,AA,9343821,0,1,1,0,0
怒槌,EXHAUST,15,COMPLETE,AAA,9774834,0,2,2,0,0
銃弾は解を撃ち抜いて,MAXIMUM,17,COMPLETE,A+,9260908,0,1,1,0,0
ナイト・オブ・ロンド,MAXIMUM,15,COMPLETE,AAA,9769585,0,1,1,0,0
Sadistic Stabbing,MAXIMUM,17,COMPLETE,AAA,9743114,0,1,1,0,0
チルノのパーフェクトさんすう教室　⑨周年バージョン,MAXIMUM,16,COMPLETE,AA,9463032,0,1,1,0,0
Doppelganger,ADVANCED,12,COMPLETE,AA+,9542986,0,1,1,0,0
Doppelganger,EXHAUST,16,COMPLETE,AA+,9610468,0,4,4,0,0
Doppelganger,MAXIMUM,18.8,PLAYED,A+,9154929,0,3,0,0,0
NEON LOVE♥POTION!!!,MAXIMUM,17,COMPLETE,AA+,9523052,0,6,6,0,0
444,MAXIMUM,17,COMPLETE,AA,9457406,0,1,1,0,0
waxing and wanding(SS Remix),MAXIMUM,16,COMPLETE,AA+,9640608,0,2,2,0,0
WONDER_WOBBLER,MAXIMUM,17,COMPLETE,AA+,9681987,0,7,6,0,0
Claidheamh Soluis-光の剣- feat.はるの,MAXIMUM,16,COMPLETE,AA+,9625468,0,1,1,0,0
Spirit of the Beast,EXHAUST,16,COMPLETE,AA+,9632199,0,2,2,0,0
Fáfnir,EXHAUST,15,COMPLETE,AAA,9791231,0,2,2,0,0
Fáfnir,MAXIMUM,17,COMPLETE,AA,9317848,0,2,1,0,0
Game Over,MAXIMUM,17,COMPLETE,AA+,9688786,0,1,1,0,0
dreamin' of u,MAXIMUM,16,COMPLETE,AA+,9687500,0,2,2,0,0
SACRIFICE feat. ayame,EXHAUST,14,COMPLETE,AAA+,9872289,0,5,4,0,0
SACRIFICE feat. ayame,MAXIMUM,18.4,COMPLETE,AA+,9594479,0,10,3,0,0
廃獄ドリームランド,MAXIMUM,17,COMPLETE,AA,9417426,0,1,1,0,0
オンディーヌの泪,MAXIMUM,17,COMPLETE,A+,9075369,0,1,1,0,0
Gorgetech,MAXIMUM,18.5,COMPLETE,AA,9350282,0,3,1,0,0
